               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.013193,           0.0062706,           0.0044121,             0.73342,             0.69693,             0.72561,             0.59234,            0.007007,           0.0040863,             0.01292,           0.0099896,           0.0099896,           0.0099896
                 107,            0.013032,            0.006108,           0.0041739,             0.73178,             0.69671,             0.72564,             0.59251,           0.0069982,           0.0040866,            0.012898,           0.0099895,           0.0099895,           0.0099895
                 108,            0.013147,           0.0061632,           0.0042002,             0.73321,             0.69705,             0.72728,             0.59338,           0.0069998,            0.004078,            0.012845,           0.0099894,           0.0099894,           0.0099894
                 109,            0.013171,           0.0061967,           0.0045011,             0.73288,             0.69597,             0.72821,             0.59379,           0.0070094,           0.0040746,             0.01281,           0.0099893,           0.0099893,           0.0099893
                 110,            0.013075,           0.0061373,            0.004361,             0.72887,             0.69916,             0.72894,             0.59452,           0.0070189,           0.0040743,            0.012733,           0.0099892,           0.0099892,           0.0099892
                 111,            0.013114,           0.0061831,           0.0047734,             0.72899,             0.69928,             0.72958,               0.595,           0.0070191,           0.0040749,            0.012689,           0.0099891,           0.0099891,           0.0099891
                 112,             0.01308,           0.0062124,           0.0043436,             0.72769,             0.69973,             0.72971,             0.59572,           0.0070023,           0.0040756,            0.012674,            0.009989,            0.009989,            0.009989
                 113,            0.013051,           0.0060329,           0.0043431,             0.72771,             0.70022,             0.72994,             0.59627,           0.0069965,           0.0040675,            0.012689,           0.0099889,           0.0099889,           0.0099889
                 114,            0.013087,            0.006146,            0.004511,             0.72831,             0.70086,             0.73127,             0.59721,           0.0069993,           0.0040629,            0.012608,           0.0099888,           0.0099888,           0.0099888
                 115,            0.012856,           0.0060875,             0.00403,             0.72699,             0.70202,             0.73182,             0.59752,           0.0070068,           0.0040679,            0.012529,           0.0099887,           0.0099887,           0.0099887
                 116,            0.012918,           0.0060507,           0.0040563,             0.72359,             0.70178,             0.73228,             0.59834,           0.0070179,           0.0040737,            0.012468,           0.0099886,           0.0099886,           0.0099886
                 117,            0.012893,           0.0062016,           0.0045269,             0.72384,             0.70109,             0.73241,             0.59836,           0.0070292,           0.0040705,            0.012437,           0.0099885,           0.0099885,           0.0099885
                 118,             0.01317,            0.006228,            0.004497,             0.72262,             0.70145,             0.73304,               0.599,           0.0070407,           0.0040821,            0.012367,           0.0099884,           0.0099884,           0.0099884
                 119,            0.012973,           0.0060871,           0.0044572,             0.72371,             0.70227,             0.73358,             0.59935,           0.0070349,           0.0040843,            0.012352,           0.0099883,           0.0099883,           0.0099883
                 120,            0.013108,           0.0061291,           0.0045207,              0.7247,             0.70145,             0.73467,              0.5997,           0.0070407,           0.0040788,            0.012311,           0.0099882,           0.0099882,           0.0099882
                 121,            0.012945,           0.0060741,           0.0043407,             0.72438,             0.70243,             0.73581,             0.60055,             0.00705,           0.0040745,            0.012346,           0.0099881,           0.0099881,           0.0099881
                 122,            0.012891,           0.0060974,           0.0042895,             0.72715,             0.70147,             0.73655,             0.60077,           0.0070553,           0.0040705,            0.012362,            0.009988,            0.009988,            0.009988
                 123,            0.012916,           0.0060537,           0.0044219,             0.72653,             0.70161,             0.73771,              0.6014,           0.0070485,           0.0040731,            0.012395,           0.0099879,           0.0099879,           0.0099879
                 124,            0.012765,           0.0060639,           0.0042026,             0.72465,             0.70107,             0.73792,             0.60195,           0.0070381,           0.0040808,            0.012389,           0.0099878,           0.0099878,           0.0099878
